	RPTEC_R1_1	RPTEC_R1_2	RPTEC_R1_3	RPTEC_R2_1	RPTEC_R2_2	RPTEC_R2_3	RPTEC_R3_1	RPTEC_R3_2	RPTEC_R3_3	RPTEC_R4_2	RPTEC_R4_3	RPTEC_R5_1	RPTEC_R5_3	RPTEC_Root1_1	RPTEC_Root1_2	RPTEC_Root1_3
RPTEC_R1_1	0	0.0155018480658905	0.0134645722607788	0.01593987329824	0.0174125803040144	0.00286240644420303	0.00841162143931962	0.00474687973523086	0.0111277170224122	0.00858725097158632	0.0089236261803722	0.0114707084823617	0.0155307866045502	0.0074175449181826	0.0127647544485549	0.0114931585840957
RPTEC_R1_2	0.0155018480658905	0	0.00499125872968718	0.0281706370933455	0.00282952816932152	0.0130707678546873	0.00793096260760179	0.0138489942270602	0.00455335423854963	0.00731058217689244	0.0229229759596786	0.0258546350084773	0.00308475398357933	0.0204567937485725	0.00332540899095136	0.0046306553166941
RPTEC_R1_3	0.0134645722607788	0.00499125872968718	0	0.0277915497594527	0.00692977554501382	0.0113561778429826	0.00811824887904427	0.0120088649805408	0.00383692137360855	0.00516200510291798	0.0212362856896307	0.0246332165247797	0.00267909351853004	0.0190324698394072	0.00464254782189691	0.00624512417316876
RPTEC_R2_1	0.01593987329824	0.0281706370933455	0.0277915497594527	0	0.030081091885301	0.0168440536727786	0.0211932613326518	0.0163507183677821	0.02450402920978	0.0231152069950531	0.00893652438309043	0.00654662689216245	0.0292130085485054	0.00976300133306964	0.0261060824482588	0.0240041891860086
RPTEC_R2_2	0.0174125803040144	0.00282952816932152	0.00692977554501382	0.030081091885301	0	0.0151612029542967	0.00943395513210076	0.0162552547562869	0.00695306716127985	0.00924517729444575	0.0251312656354229	0.0277044111192554	0.00480148651152045	0.0226940311672594	0.00467107467583938	0.00620641793296534
RPTEC_R2_3	0.00286240644420303	0.0130707678546873	0.0113561778429826	0.0168440536727786	0.0151612029542967	0	0.00635651445313778	0.0028965883522011	0.00868680638696085	0.00657032910599671	0.0102270815027963	0.0132827613297769	0.0132450629589076	0.00812460382732256	0.0105902059182925	0.00917132827689409
RPTEC_R3_1	0.00841162143931962	0.00793096260760179	0.00811824887904427	0.0211932613326518	0.00943395513210076	0.00635651445313778	0	0.00824700375533451	0.00476765350044815	0.00387370844111863	0.0161235232766388	0.018320203471565	0.0090688771115399	0.0138215376638315	0.00511577721961797	0.00338021675069022
RPTEC_R3_2	0.00474687973523086	0.0138489942270602	0.0120088649805408	0.0163507183677821	0.0162552547562869	0.0028965883522011	0.00824700375533451	0	0.00947614779757425	0.00797954209286188	0.00937007910360592	0.0133983361440788	0.0138654088826249	0.00709017053032021	0.0119035678255031	0.0104763728102332
RPTEC_R3_3	0.0111277170224122	0.00455335423854963	0.00383692137360855	0.02450402920978	0.00695306716127985	0.00868680638696085	0.00476765350044815	0.00947614779757425	0	0.00312262070519302	0.018628084532072	0.0217678911844348	0.00474652749941427	0.0162530115797297	0.00300756716613696	0.00304143940990676
RPTEC_R4_2	0.00858725097158632	0.00731058217689244	0.00516200510291798	0.0231152069950531	0.00924517729444575	0.00657032910599671	0.00387370844111863	0.00797954209286188	0.00312262070519302	0	0.0167570948876973	0.0197060702086397	0.0070334409241099	0.0145989586302661	0.00467176028095115	0.00448405148527024
RPTEC_R4_3	0.0089236261803722	0.0229229759596786	0.0212362856896307	0.00893652438309043	0.0251312656354229	0.0102270815027963	0.0161235232766388	0.00937007910360592	0.018628084532072	0.0167570948876973	0	0.00545758185706159	0.0231581804395848	0.00269900144330478	0.0206950918650721	0.0190152981058198
RPTEC_R5_1	0.0114707084823617	0.0258546350084773	0.0246332165247797	0.00654662689216245	0.0277044111192554	0.0132827613297769	0.018320203471565	0.0133983361440788	0.0217678911844348	0.0197060702086397	0.00545758185706159	0	0.0264467137765174	0.00708228586091859	0.0233073635062866	0.0215098488807607
RPTEC_R5_3	0.0155307866045502	0.00308475398357933	0.00267909351853004	0.0292130085485054	0.00480148651152045	0.0132450629589076	0.0090688771115399	0.0138654088826249	0.00474652749941427	0.0070334409241099	0.0231581804395848	0.0264467137765174	0	0.0208229356044358	0.00448897266162068	0.00632596822749237
RPTEC_Root1_1	0.0074175449181826	0.0204567937485725	0.0190324698394072	0.00976300133306964	0.0226940311672594	0.00812460382732256	0.0138215376638315	0.00709017053032021	0.0162530115797297	0.0145989586302661	0.00269900144330478	0.00708228586091859	0.0208229356044358	0	0.0183491092255908	0.0165921558060779
RPTEC_Root1_2	0.0127647544485549	0.00332540899095136	0.00464254782189691	0.0261060824482588	0.00467107467583938	0.0105902059182925	0.00511577721961797	0.0119035678255031	0.00300756716613696	0.00467176028095115	0.0206950918650721	0.0233073635062866	0.00448897266162068	0.0183491092255908	0	0.00234395136788149
RPTEC_Root1_3	0.0114931585840957	0.0046306553166941	0.00624512417316876	0.0240041891860086	0.00620641793296534	0.00917132827689409	0.00338021675069022	0.0104763728102332	0.00304143940990676	0.00448405148527024	0.0190152981058198	0.0215098488807607	0.00632596822749237	0.0165921558060779	0.00234395136788149	0
