a	b	generations
MSI1A3	MSI1A333	32.61097406901101
MSI1A3	MSI1A33311	64.00936549747757
MSI1A3	MSI1A33322	64.00936549747757
MSI1A3	MSI1A3333C	64.00936549747757
MSI1A3	MSI1B2	49.2
MSI1A3	MSI1B214	81.5985371960641
MSI1A3	MSI1B21418	115.29663467398714
MSI1A3	MSI1B21419	115.29663467398714
MSI1A3	MSI1B21435	115.29663467398714
MSI1A3	MSI1C9	49.2
MSI1A3	MSI1C931	79.92277848310914
MSI1A3	MSI1C93113	113.1607505722248
MSI1A3	MSI1C93133	113.1607505722248
MSI1A3	MSI1M2	24.6
MSI1A333	MSI1A33311	31.398391428466567
MSI1A333	MSI1A33322	31.398391428466567
MSI1A333	MSI1A3333C	31.398391428466567
MSI1A333	MSI1B2	81.81097406901101
MSI1A333	MSI1B214	114.20951126507511
MSI1A333	MSI1B21418	147.90760874299815
MSI1A333	MSI1B21419	147.90760874299815
MSI1A333	MSI1B21435	147.90760874299815
MSI1A333	MSI1C9	81.81097406901101
MSI1A333	MSI1C931	112.53375255212015
MSI1A333	MSI1C93113	145.7717246412358
MSI1A333	MSI1C93133	145.7717246412358
MSI1A333	MSI1M2	57.21097406901101
MSI1A33311	MSI1A33322	62.796782856933135
MSI1A33311	MSI1A3333C	62.796782856933135
MSI1A33311	MSI1B2	113.20936549747758
MSI1A33311	MSI1B214	145.6079026935417
MSI1A33311	MSI1B21418	179.30600017146475
MSI1A33311	MSI1B21419	179.30600017146475
MSI1A33311	MSI1B21435	179.30600017146475
MSI1A33311	MSI1C9	113.20936549747758
MSI1A33311	MSI1C931	143.93214398058672
MSI1A33311	MSI1C93113	177.17011606970237
MSI1A33311	MSI1C93133	177.17011606970237
MSI1A33311	MSI1M2	88.60936549747757
MSI1A33322	MSI1A3333C	62.796782856933135
MSI1A33322	MSI1B2	113.20936549747758
MSI1A33322	MSI1B214	145.6079026935417
MSI1A33322	MSI1B21418	179.30600017146475
MSI1A33322	MSI1B21419	179.30600017146475
MSI1A33322	MSI1B21435	179.30600017146475
MSI1A33322	MSI1C9	113.20936549747758
MSI1A33322	MSI1C931	143.93214398058672
MSI1A33322	MSI1C93113	177.17011606970237
MSI1A33322	MSI1C93133	177.17011606970237
MSI1A33322	MSI1M2	88.60936549747757
MSI1A3333C	MSI1B2	113.20936549747758
MSI1A3333C	MSI1B214	145.6079026935417
MSI1A3333C	MSI1B21418	179.30600017146475
MSI1A3333C	MSI1B21419	179.30600017146475
MSI1A3333C	MSI1B21435	179.30600017146475
MSI1A3333C	MSI1C9	113.20936549747758
MSI1A3333C	MSI1C931	143.93214398058672
MSI1A3333C	MSI1C93113	177.17011606970237
MSI1A3333C	MSI1C93133	177.17011606970237
MSI1A3333C	MSI1M2	88.60936549747757
MSI1B2	MSI1B214	32.3985371960641
MSI1B2	MSI1B21418	66.09663467398714
MSI1B2	MSI1B21419	66.09663467398714
MSI1B2	MSI1B21435	66.09663467398714
MSI1B2	MSI1C9	49.2
MSI1B2	MSI1C931	79.92277848310914
MSI1B2	MSI1C93113	113.1607505722248
MSI1B2	MSI1C93133	113.1607505722248
MSI1B2	MSI1M2	24.6
MSI1B214	MSI1B21418	33.69809747792304
MSI1B214	MSI1B21419	33.69809747792304
MSI1B214	MSI1B21435	33.69809747792304
MSI1B214	MSI1C9	81.5985371960641
MSI1B214	MSI1C931	112.32131567917324
MSI1B214	MSI1C93113	145.5592877682889
MSI1B214	MSI1C93133	145.5592877682889
MSI1B214	MSI1M2	56.9985371960641
MSI1B21418	MSI1B21419	67.39619495584608
MSI1B21418	MSI1B21435	67.39619495584608
MSI1B21418	MSI1C9	115.29663467398714
MSI1B21418	MSI1C931	146.01941315709627
MSI1B21418	MSI1C93113	179.25738524621192
MSI1B21418	MSI1C93133	179.25738524621192
MSI1B21418	MSI1M2	90.69663467398715
MSI1B21419	MSI1B21435	67.39619495584608
MSI1B21419	MSI1C9	115.29663467398714
MSI1B21419	MSI1C931	146.01941315709627
MSI1B21419	MSI1C93113	179.25738524621192
MSI1B21419	MSI1C93133	179.25738524621192
MSI1B21419	MSI1M2	90.69663467398715
MSI1B21435	MSI1C9	115.29663467398714
MSI1B21435	MSI1C931	146.01941315709627
MSI1B21435	MSI1C93113	179.25738524621192
MSI1B21435	MSI1C93133	179.25738524621192
MSI1B21435	MSI1M2	90.69663467398715
MSI1C9	MSI1C931	30.722778483109145
MSI1C9	MSI1C93113	63.9607505722248
MSI1C9	MSI1C93133	63.9607505722248
MSI1C9	MSI1M2	24.6
MSI1C931	MSI1C93113	33.23797208911566
MSI1C931	MSI1C93133	33.23797208911566
MSI1C931	MSI1M2	55.32277848310915
MSI1C93113	MSI1C93133	66.47594417823132
MSI1C93113	MSI1M2	88.5607505722248
MSI1C93133	MSI1M2	88.5607505722248
